timestamp,total_elapsed_us,delta_us,signal,value
'10:25:15.581.723,0,0,Temp_High,42.0
'10:25:15.581.723,0,0,Temp_Low,32.0
'10:25:15.684.549,102826,102826,Current,76.4
'10:25:15.684.549,102826,102826,Voltage,332.8
'10:25:15.684.549,102826,102826,Battery_SOC,58.0
'10:25:15.686.956,105233,2407,Temp_High,43.0
'10:25:15.686.956,105233,2407,Temp_Low,33.0
'10:25:15.789.755,208032,102799,Current,51.8
'10:25:15.789.755,208032,102799,Voltage,358.4
'10:25:15.789.755,208032,102799,Battery_SOC,59.0
'10:25:15.792.180,210457,2425,Temp_High,43.0
'10:25:15.792.180,210457,2425,Temp_Low,33.0
'10:25:15.895.038,313315,102858,Current,52.8
'10:25:15.895.038,313315,102858,Voltage,358.4
'10:25:15.895.038,313315,102858,Battery_SOC,60.0
'10:25:15.897.452,315729,2414,Temp_High,44.0
'10:25:15.897.452,315729,2414,Temp_Low,34.0
'10:25:16.000.286,418563,102834,Current,53.8
'10:25:16.000.286,418563,102834,Voltage,358.4
'10:25:16.000.286,418563,102834,Battery_SOC,61.0
'10:25:16.002.715,420992,2429,Temp_High,44.0
'10:25:16.002.715,420992,2429,Temp_Low,34.0
'10:25:16.105.592,523869,102877,Current,54.8
'10:25:16.105.592,523869,102877,Voltage,358.4
'10:25:16.105.592,523869,102877,Battery_SOC,62.0
'10:25:16.107.985,526262,2393,Temp_High,44.0
'10:25:16.107.985,526262,2393,Temp_Low,34.0
'10:25:16.210.795,629072,102810,Current,55.8
'10:25:16.210.795,629072,102810,Voltage,358.4
'10:25:16.210.795,629072,102810,Battery_SOC,63.0
'10:25:16.213.266,631543,2471,Temp_High,45.0
'10:25:16.213.266,631543,2471,Temp_Low,35.0
'10:25:16.316.002,734279,102736,Current,56.8
'10:25:16.316.002,734279,102736,Voltage,358.4
'10:25:16.316.002,734279,102736,Battery_SOC,64.0
'10:25:16.318.520,736797,2518,Temp_High,45.0
'10:25:16.318.520,736797,2518,Temp_Low,35.0
'10:25:16.421.256,839533,102736,Current,57.8
'10:25:16.421.256,839533,102736,Voltage,358.4
'10:25:16.421.256,839533,102736,Battery_SOC,65.0
'10:25:16.423.792,842069,2536,Temp_High,46.0
'10:25:16.423.792,842069,2536,Temp_Low,36.0
'10:25:16.526.535,944812,102743,Current,58.8
'10:25:16.526.535,944812,102743,Voltage,358.4
'10:25:16.526.535,944812,102743,Battery_SOC,66.0
'10:25:16.529.069,947346,2534,Temp_High,46.0
'10:25:16.529.069,947346,2534,Temp_Low,36.0
'10:25:16.631.807,1050084,102738,Current,59.8
'10:25:16.631.807,1050084,102738,Voltage,358.4
'10:25:16.631.807,1050084,102738,Battery_SOC,67.0
'10:25:16.634.345,1052622,2538,Temp_High,46.0
'10:25:16.634.345,1052622,2538,Temp_Low,36.0
'10:25:16.737.076,1155353,102731,Current,60.8
'10:25:16.737.076,1155353,102731,Voltage,358.4
'10:25:16.737.076,1155353,102731,Battery_SOC,68.0
'10:25:16.739.594,1157871,2518,Temp_High,47.0
'10:25:16.739.594,1157871,2518,Temp_Low,37.0
'10:25:16.842.386,1260663,102792,Current,61.8
'10:25:16.842.386,1260663,102792,Voltage,358.4
'10:25:16.842.386,1260663,102792,Battery_SOC,69.0
'10:25:16.844.872,1263149,2486,Temp_High,47.0
'10:25:16.844.872,1263149,2486,Temp_Low,37.0
'10:25:16.947.778,1366055,102906,Current,62.8
