timestamp,total_elapsed_us,delta_us,signal,value
30:49.0,0,0,Temp_High,53
30:49.0,0,0,Temp_Low,43
30:49.1,102870,102870,Current,77.8
30:49.1,102870,102870,Voltage,384
30:49.1,102870,102870,Battery_SOC,85
30:49.1,105189,2319,Temp_High,54
30:49.1,105189,2319,Temp_Low,44
30:49.2,208065,102876,Current,78.8
30:49.2,208065,102876,Voltage,384
30:49.2,208065,102876,Battery_SOC,86
30:49.2,210456,2391,Temp_High,54
30:49.2,210456,2391,Temp_Low,44
30:49.3,313344,102888,Current,79.8
30:49.3,313344,102888,Voltage,384
30:49.3,313344,102888,Battery_SOC,87
30:49.3,315737,2393,Temp_High,54
30:49.3,315737,2393,Temp_Low,44
30:49.4,418535,102798,Current,80.8
30:49.4,418535,102798,Voltage,384
30:49.4,418535,102798,Battery_SOC,88
30:49.4,421006,2471,Temp_High,55
30:49.4,421006,2471,Temp_Low,45
30:49.5,523828,102822,Current,81.8
30:49.5,523828,102822,Voltage,384
30:49.5,523828,102822,Battery_SOC,89
30:49.5,526281,2453,Temp_High,55
30:49.5,526281,2453,Temp_Low,45
30:49.6,629147,102866,Current,82.8
30:49.6,629147,102866,Voltage,384
30:49.6,629147,102866,Battery_SOC,90
30:49.6,631564,2417,Temp_High,56
30:49.6,631564,2417,Temp_Low,46
30:49.7,734415,102851,Current,83.8
30:49.7,734415,102851,Voltage,384
30:49.7,734415,102851,Battery_SOC,91
30:49.7,736822,2407,Temp_High,56
30:49.7,736822,2407,Temp_Low,46
30:49.8,839680,102858,Current,84.8
30:49.8,839680,102858,Voltage,384
30:49.8,839680,102858,Battery_SOC,92
30:49.8,842099,2419,Temp_High,56
30:49.8,842099,2419,Temp_Low,46
30:49.9,944961,102862,Current,85.8
30:49.9,944961,102862,Voltage,384
30:49.9,944961,102862,Battery_SOC,93
30:49.9,947378,2417,Temp_High,57
30:49.9,947378,2417,Temp_Low,47
30:50.0,1050184,102806,Current,86.8
30:50.0,1050184,102806,Voltage,384
30:50.0,1050184,102806,Battery_SOC,94
30:50.0,1052644,2460,Temp_High,57
30:50.0,1052644,2460,Temp_Low,47
30:50.1,1155460,102816,Current,87.8
30:50.1,1155460,102816,Voltage,384
30:50.1,1155460,102816,Battery_SOC,95
30:50.2,1157917,2457,Temp_High,58
30:50.2,1157917,2457,Temp_Low,48
30:50.3,1260775,102858,Current,88.8
30:50.3,1260775,102858,Voltage,384
30:50.3,1260775,102858,Battery_SOC,96
30:50.3,1263196,2421,Temp_High,58
30:50.3,1263196,2421,Temp_Low,48
30:50.4,1366046,102850,Current,89.8
30:50.4,1366046,102850,Voltage,384
30:50.4,1366046,102850,Battery_SOC,97
30:50.4,1368471,2425,Temp_High,58
30:50.4,1368471,2425,Temp_Low,48
30:50.5,1471336,102865,Current,90.8
30:50.5,1471336,102865,Voltage,384
30:50.5,1471336,102865,Battery_SOC,98
30:50.5,1473735,2399,Temp_High,59
30:50.5,1473735,2399,Temp_Low,49
30:50.6,1576611,102876,Current,91.8
30:50.6,1576611,102876,Voltage,384
30:50.6,1576611,102876,Battery_SOC,99
30:50.6,1579018,2407,Temp_High,59
30:50.6,1579018,2407,Temp_Low,49
30:50.7,1681888,102870,Current,92.8
30:50.7,1681888,102870,Voltage,384
30:50.7,1681888,102870,Battery_SOC,100
30:50.7,1684388,2500,Temp_High,60
30:50.7,1684388,2500,Temp_Low,50
30:50.8,1787305,102917,Current,18.4
30:50.8,1787305,102917,Voltage,281.6
30:50.8,1787305,102917,Battery_SOC,0
30:50.8,1789598,2293,Temp_High,20
30:50.8,1789598,2293,Temp_Low,10
30:50.9,1892369,102771,Current,19.4
30:50.9,1892369,102771,Voltage,281.6
30:50.9,1892369,102771,Battery_SOC,1
30:50.9,1894696,2327,Temp_High,20
30:50.9,1894696,2327,Temp_Low,10
30:51.0,1997498,102802,Current,20.4
30:51.0,1997498,102802,Voltage,281.6
30:51.0,1997498,102802,Battery_SOC,2
30:51.0,1999803,2305,Temp_High,20
30:51.0,1999803,2305,Temp_Low,10
30:51.1,2102601,102798,Current,21.4
30:51.1,2102601,102798,Voltage,281.6
30:51.1,2102601,102798,Battery_SOC,3
30:51.1,2104918,2317,Temp_High,21
30:51.1,2104918,2317,Temp_Low,11
30:51.2,2207680,102762,Current,22.4
30:51.2,2207680,102762,Voltage,281.6
30:51.2,2207680,102762,Battery_SOC,4
30:51.2,2210019,2339,Temp_High,21
30:51.2,2210019,2339,Temp_Low,11
30:51.3,2312797,102778,Current,23.4
30:51.3,2312797,102778,Voltage,281.6
30:51.3,2312797,102778,Battery_SOC,5
30:51.3,2315124,2327,Temp_High,22
30:51.3,2315124,2327,Temp_Low,12
30:51.4,2417905,102781,Current,24.4
30:51.4,2417905,102781,Voltage,281.6
30:51.4,2417905,102781,Battery_SOC,6
30:51.4,2420240,2335,Temp_High,22
30:51.4,2420240,2335,Temp_Low,12
30:51.5,2523028,102788,Current,25.4
30:51.5,2523028,102788,Voltage,281.6
30:51.5,2523028,102788,Battery_SOC,7
30:51.5,2525343,2315,Temp_High,22
30:51.5,2525343,2315,Temp_Low,12
30:51.6,2628119,102776,Current,0.8
30:51.6,2628119,102776,Voltage,307.2
30:51.6,2628119,102776,Battery_SOC,8
30:51.6,2630432,2313,Temp_High,23
30:51.6,2630432,2313,Temp_Low,13
30:51.7,2733218,102786,Current,1.8
30:51.7,2733218,102786,Voltage,307.2
30:51.7,2733218,102786,Battery_SOC,9
30:51.7,2735572,2354,Temp_High,23
30:51.7,2735572,2354,Temp_Low,13
30:51.8,2838340,102768,Current,2.8
30:51.8,2838340,102768,Voltage,307.2
30:51.8,2838340,102768,Battery_SOC,10
30:51.8,2840751,2411,Temp_High,24
30:51.8,2840751,2411,Temp_Low,14
30:51.9,2943533,102782,Current,3.8
30:51.9,2943533,102782,Voltage,307.2
30:51.9,2943533,102782,Battery_SOC,11
30:51.9,2945988,2455,Temp_High,24
30:51.9,2945988,2455,Temp_Low,14
30:52.0,3048758,102770,Current,4.8
30:52.0,3048758,102770,Voltage,307.2
30:52.0,3048758,102770,Battery_SOC,12
30:52.0,3051221,2463,Temp_High,24
30:52.0,3051221,2463,Temp_Low,14
30:52.1,3154049,102828,Current,5.8
30:52.1,3154049,102828,Voltage,307.2
30:52.1,3154049,102828,Battery_SOC,13
30:52.1,3156446,2397,Temp_High,25
30:52.1,3156446,2397,Temp_Low,15
30:52.3,3259276,102830,Current,6.8
30:52.3,3259276,102830,Voltage,307.2
30:52.3,3259276,102830,Battery_SOC,14
30:52.3,3261740,2464,Temp_High,25
30:52.3,3261740,2464,Temp_Low,15
30:52.4,3364406,102666,Current,7.8
30:52.4,3364406,102666,Voltage,307.2
30:52.4,3364406,102666,Battery_SOC,15
30:52.4,3366995,2589,Temp_High,26
30:52.4,3366995,2589,Temp_Low,16
30:52.5,3469788,102793,Current,8.8
30:52.5,3469788,102793,Voltage,307.2
30:52.5,3469788,102793,Battery_SOC,16
30:52.5,3472186,2398,Temp_High,26
30:52.5,3472186,2398,Temp_Low,16
30:52.6,3574977,102791,Current,9.8
30:52.6,3574977,102791,Voltage,307.2
30:52.6,3574977,102791,Battery_SOC,17
30:52.6,3577493,2516,Temp_High,26
